order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,region,product_id,category,sub_category,product_name,total_sales,order_year,order_month,shipping_days,order_count
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,Claire Gute,consumer,Henderson,Kentucky,South,FUR-BO-10001798,furniture,bookcases,Bush Somerset Collection Bookcase,261.96,2017,11,3,1
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,Claire Gute,consumer,Henderson,Kentucky,South,FUR-CH-10000454,furniture,chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,2017,11,3,1
CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045,Darrin Van Huff,corporate,Los Angeles,California,West,OFF-LA-10000240,office supplies,labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2017,6,4,1
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,furniture,tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,2016,10,7,1
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,office supplies,storage,Eldon Fold 'N Roll Cart System,22.368,2016,10,7,1
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,consumer,Los Angeles,California,West,FUR-FU-10001487,furniture,furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,2015,6,5,1
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,consumer,Los Angeles,California,West,OFF-AR-10002833,office supplies,art,Newell 322,7.28,2015,6,5,1
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,consumer,Los Angeles,California,West,TEC-PH-10002275,technology,phones,Mitel 5320 IP Phone VoIP phone,907.152,2015,6,5,1
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,consumer,Los Angeles,California,West,OFF-BI-10003910,office supplies,binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,2015,6,5,1
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,consumer,Los Angeles,California,West,OFF-AP-10002892,office supplies,appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,2015,6,5,1
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,consumer,Los Angeles,California,West,FUR-TA-10001539,furniture,tables,Chromcraft Rectangular Conference Tables,1706.184,2015,6,5,1
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,consumer,Los Angeles,California,West,TEC-PH-10002033,technology,phones,Konftel 250 Conference phone - Charcoal black,911.424,2015,6,5,1
CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,Andrew Allen,consumer,Concord,North Carolina,South,OFF-PA-10002365,office supplies,paper,Xerox 1967,15.552,2018,4,5,1
CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,Irene Maddox,consumer,Seattle,Washington,West,OFF-BI-10003656,office supplies,binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,2017,12,5,1
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,home office,Fort Worth,Texas,Central,OFF-AP-10002311,office supplies,appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,2016,11,4,1
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,home office,Fort Worth,Texas,Central,OFF-BI-10000756,office supplies,binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016,11,4,1
CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,Pete Kriz,consumer,Madison,Wisconsin,Central,OFF-ST-10004186,office supplies,storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2015,11,7,1
CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,Alejandro Grove,consumer,West Jordan,Utah,West,OFF-ST-10000107,office supplies,storage,Fellowes Super Stor/Drawer,55.5,2015,5,2,1
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,consumer,San Francisco,California,West,OFF-AR-10003056,office supplies,art,Newell 341,8.56,2015,8,5,1
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,consumer,San Francisco,California,West,TEC-PH-10001949,technology,phones,Cisco SPA 501G IP Phone,213.48,2015,8,5,1
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,consumer,San Francisco,California,West,OFF-BI-10002215,office supplies,binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,2015,8,5,1
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,corporate,Fremont,Nebraska,Central,OFF-AR-10000246,office supplies,art,Newell 318,19.46,2017,12,4,1
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,corporate,Fremont,Nebraska,Central,OFF-AP-10001492,office supplies,appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,2017,12,4,1
US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,Sandra Flanagan,consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,furniture,chairs,"Global Deluxe Stacking Chair, Gray",71.372,2018,7,2,1
CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,Emily Burns,consumer,Orem,Utah,West,FUR-TA-10000577,furniture,tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,2016,9,5,1
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,consumer,Los Angeles,California,West,OFF-BI-10001634,office supplies,binders,Wilson Jones Active Use Binders,11.648,2017,1,4,1
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,consumer,Los Angeles,California,West,TEC-AC-10003027,technology,accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,2017,1,4,1
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,furniture,bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016,9,4,1
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,office supplies,binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2016,9,4,1
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,furniture,furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,2016,9,4,1
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,office supplies,envelopes,Poly String Tie Envelopes,3.264,2016,9,4,1
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,office supplies,art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,2016,9,4,1
